constraint_description,constraint_type,main_location,secondary_location,matched_site,latitude,longitude,latitude_2,longitude_2,geolocation_source,geolocation_method,constraint_id
DOCK RD PRIMARY 11kV Sum Constraint,aggregate,DOCK RD PRIMARY,,DOCK RD PRIMARY 33/11KV,51.9538521006963,1.32655054208453,,,grid_sites,substation_direct,0H1060_SS_CONSTR-SUM
DOCK RD PRIMARY 11kV - T4,transformer,DOCK RD PRIMARY,,DOCK RD PRIMARY 33/11KV,51.9538521006963,1.32655054208453,,,grid_sites,substation_direct,0H1060_T4_CONSTR-CCT
Halesworth Primary 33/11kV - SUM,aggregate,HALESWORTH,,HALESWORTH GRID 132KV,52.3565761818556,1.51073016384416,,,grid_sites,substation_direct,0H5032_SS_CONSTR-SUM
Bramford 132kV - DISS GRID tee THETFORD GRID 1  (PI  No.1),transmission_circuit,DISS GRID,THETFORD GRID 1,,52.3797611750931,0.9212973684979532,52.3872190958013,0.736478402750066,grid_sites,transmission_midpoint,0C1068_913-CCT_CONSTR-CCT
Bramford 132kV  - Rumburgh / Wickham Mkt 1,substation,BRAMFORD,,CRAYFORD,51.4524131324733,0.180486009646744,,,grid_sites,substation_direct,0C1068_933-CCT_CONSTR-CCT
Bramford 132kV - SUM  EEPB Route,aggregate,BRAMFORD,,CRAYFORD,51.4524131324733,0.180486009646744,,,grid_sites,substation_direct,0C1068_SS_CONSTR-SUM~EEPB
Bramford 132kV - SUM EEPK route,aggregate,BRAMFORD,,CRAYFORD,51.4524131324733,0.180486009646744,,,grid_sites,substation_direct,0C1068_SS_CONSTR-SUM~EEPK
Bramford 132kV - SUM PI route,aggregate,BRAMFORD,,CRAYFORD,51.4524131324733,0.180486009646744,,,grid_sites,substation_direct,0C1068_SS_CONSTR-SUM~PI
Thetford Grid 33kV - SUM,aggregate,THETFORD GRID GRID,,THETFORD GRID 33/11KV,52.3872190958013,0.736478402750066,,,grid_sites,substation_direct,0C3048_935-CCT_CONSTR-SUM
Lawford 132kV - PJ + PEC ROUTE,substation,LAWFORD,,SEAFORD,50.7743872554242,0.101224173934288,,,grid_sites,substation_direct,0C3048_SS_CONSTR-SUM~PJPEC
ARBURY GRID 132/33kV - Milton 1 (PMK1),substation,ARBURY GRID GRID,,ARBURY GRID 132KV,52.2351409296593,0.130979173795973,,,grid_sites,substation_direct,0C4001_901-CCT1_CONSTR-CCT
ARBURY GRID 132/33kV - Little Barford tee HISTON GRID 2 (PT No.2),transmission_circuit,LITTLE BARFORD,HISTON GRID 2,,52.22673451895035,-0.084883392215162,52.2461229481053,0.102236618763704,grid_sites,transmission_midpoint,0C4001_902-CCT2_CONSTR-CCT
ARBURY GRID 132/33kV - Sum PMK route,aggregate,ARBURY GRID GRID,,ARBURY GRID 132KV,52.2351409296593,0.130979173795973,,,grid_sites,substation_direct,0C4001_SS_CONSTR-SUM~PMK
BURWELL MAIN GRID 132kV - SGT1,transformer,BURWELL MAIN GRID GRID,,BURWELL MAIN GRID 132KV,52.2806027360161,0.313046568036715,,,grid_sites,substation_direct,0C4026_914-SGT1_CONSTR-CCT
BURWELL MAIN GRID 132kV - SGT4,transformer,BURWELL MAIN GRID GRID,,BURWELL MAIN GRID 132KV,52.2806027360161,0.313046568036715,,,grid_sites,substation_direct,0C4026_936-SGT4_CONSTR-CCT
EATON SOCON GRID 132kV - Sum (PFZ route),aggregate,EATON SOCON GRID GRID,,EATON SOCON GRID 132KV,52.2147364575905,-0.301694937097924,,,grid_sites,substation_direct,0C4076_SS_CONSTR-SUM~PFZ
Norwich Main - Earlham 2,substation,NORWICH MAIN,,NORWICH MAIN 132KV,52.5740279616305,1.27181803305154,,,grid_sites,substation_direct,0C5012_902-CCT1_CONSTR-CCT
Norwich Main - Earlham 1,substation,NORWICH MAIN,,NORWICH MAIN 132KV,52.5740279616305,1.27181803305154,,,grid_sites,substation_direct,0C5012_904-CCT1_CONSTR-CCT
Sall Grid 132kV - Eatlham Tee Sheringham 1,transmission_circuit,EATLHAM,SHERINGHAM 1,,51.9508612576141,0.4123444754682979,51.2726415464543,-0.402462533824124,grid_sites,transmission_midpoint,0C5015_913-CCT_CONSTR-CCT
Trowse Grid 132kV - Gt Yarmouth PWR STN Tee Gorleston Grid,transmission_circuit,GT YARMOUTH PWR STN,GORLESTON GRID,,52.5792095551997,1.718029585373765,52.5668164479376,1.70510092036558,grid_sites,transmission_midpoint,0C5084_937-CCT_CONSTR-CCT
